User Id,Gameplays,Deposits,Withdrawals,LoyaltyPoints
0,15,0.0,0.0,150.0
1,8,1.0,0.0,85.0
2,97,20.0,20.0,1030.0
3,80,4.0,0.0,820.0
4,5,1.0,0.0,55.0
5,391,67.0,9.0,4227.0
6,67,7.0,0.0,705.0
7,61,0.0,1.0,608.0
8,497,0.0,0.0,4970.0
9,3416,109.0,9.0,34687.0
10,658,21.0,0.0,6685.0
11,769,21.0,24.0,7747.0
12,189,52.0,8.0,2134.0
13,3,1.0,0.0,35.0
14,14,28.0,0.0,280.0
15,34,1.0,0.0,345.0
16,2093,54.0,39.0,21122.0
17,245,12.0,0.0,2510.0
18,7,5.0,6.0,83.0
19,57,7.0,2.0,601.0
20,2,1.0,2.0,21.0
21,59,4.0,0.0,610.0
22,3,5.0,0.0,55.0
23,197,26.0,6.0,2088.0
24,266,21.0,0.0,2765.0
25,1,8.0,2.0,46.0
26,3,9.0,0.0,75.0
27,1884,24.0,2.0,18956.0
28,37,49.0,0.0,615.0
29,23,3.0,0.0,245.0
30,13,51.0,1.0,383.0
31,989,33.0,31.0,9993.0
32,29,13.0,2.0,351.0
33,8,1.0,5.0,75.0
34,11,3.0,0.0,125.0
35,3,0.0,0.0,30.0
36,83,1.0,1.0,833.0
37,16,1.0,3.0,159.0
38,1,0.0,0.0,10.0
39,4265,44.0,8.0,42854.0
40,7,0.0,0.0,70.0
41,8,1.0,0.0,85.0
42,401,6.0,0.0,4040.0
43,1055,0.0,0.0,10550.0
44,13,93.0,1.0,593.0
45,222,32.0,9.0,2362.0
46,34,8.0,0.0,380.0
47,394,44.0,76.0,4008.0
48,11,0.0,0.0,110.0
49,2,2.0,0.0,30.0
50,6,10.0,5.0,100.0
51,1,7.0,1.0,43.0
52,234,22.0,1.0,2448.0
53,639,19.0,0.0,6485.0
54,43,4.0,0.0,450.0
55,134,13.0,2.0,1401.0
56,1,5.0,0.0,35.0
57,163,0.0,0.0,1630.0
58,18,68.0,0.0,520.0
59,72,12.0,7.0,766.0
60,4,25.0,15.0,135.0
61,30,1.0,0.0,305.0
62,7,2.0,1.0,78.0
63,140,5.0,1.0,1423.0
64,41,2.0,10.0,400.0
65,19,1.0,0.0,195.0
66,4,2.0,0.0,50.0
67,22,2.0,0.0,230.0
68,3,1.0,0.0,35.0
69,31,3.0,0.0,325.0
70,1,70.0,0.0,360.0
71,183,31.0,2.0,1981.0
72,91,27.0,3.0,1039.0
73,2,1.0,0.0,25.0
74,169,25.0,3.0,1809.0
75,18,2.0,3.0,184.0
76,10,10.0,2.0,146.0
77,624,16.0,1.0,6318.0
78,602,32.0,47.0,6086.0
79,13,10.0,0.0,180.0
80,65,83.0,1.0,1063.0
81,86,10.0,0.0,910.0
82,3,10.0,40.0,0.0
83,103,7.0,0.0,1065.0
84,244,4.0,0.0,2460.0
85,2619,94.0,3.0,26654.0
86,4,3.0,0.0,55.0
87,3,4.0,0.0,50.0
88,43,1.0,0.0,435.0
89,2342,9.0,0.0,23465.0
90,195,51.0,0.0,2205.0
91,1,4.0,0.0,30.0
92,13,1.0,0.0,135.0
93,487,76.0,24.0,5202.0
94,31,8.0,1.0,348.0
95,91,4.0,0.0,930.0
96,37,5.0,0.0,395.0
97,694,229.0,14.0,8057.0
98,17,1.0,0.0,175.0
99,10,47.0,15.0,305.0
100,1,24.0,0.0,130.0
101,12,3.0,1.0,133.0
102,116,9.0,2.0,1201.0
103,36,36.0,0.0,540.0
104,55,9.0,3.0,589.0
105,2,2.0,0.0,30.0
106,2,68.0,7.0,346.0
107,48,19.0,13.0,549.0
108,197,10.0,1.0,2018.0
109,8,1.0,0.0,85.0
110,59,1.0,0.0,595.0
111,42,0.0,0.0,420.0
112,3,11.0,8.0,69.0
113,4,4.0,0.0,60.0
114,28,17.0,15.0,335.0
115,19,9.0,1.0,233.0
116,14,1.0,0.0,145.0
117,79,3.0,0.0,805.0
118,6,2.0,0.0,70.0
119,19,1.0,0.0,195.0
120,85,3.0,0.0,865.0
121,69,1.0,0.0,695.0
122,50,29.0,2.0,641.0
123,4,3.0,0.0,55.0
124,56,15.0,0.0,635.0
125,4,13.0,8.0,89.0
126,6,9.0,0.0,105.0
127,2,1.0,1.0,23.0
128,39,4.0,0.0,410.0
129,11,2.0,0.0,120.0
130,27,20.0,4.0,362.0
131,170,19.0,0.0,1795.0
132,167,10.0,1.0,1718.0
133,2,38.0,8.0,194.0
134,11,4.0,0.0,130.0
135,3,1.0,0.0,35.0
136,74,3.0,0.0,755.0
137,3521,13.0,16.0,35243.0
138,70,0.0,0.0,700.0
139,912,111.0,3.0,9669.0
140,206,11.0,4.0,2107.0
141,925,37.0,2.0,9431.0
142,37,0.0,13.0,344.0
143,269,0.0,0.0,2690.0
144,27,1.0,1.0,273.0
145,16,26.0,2.0,286.0
146,519,24.0,5.0,5300.0
147,37,10.0,0.0,420.0
148,41,10.0,1.0,458.0
149,1,41.0,0.0,215.0
150,597,0.0,0.0,5970.0
151,223,1.0,0.0,2235.0
152,678,1.0,1.0,6783.0
153,51,58.0,6.0,788.0
154,349,0.0,0.0,3490.0
155,6,7.0,1.0,93.0
156,119,1.0,0.0,1195.0
157,253,40.0,22.0,2686.0
158,8,39.0,6.0,263.0
159,1,19.0,12.0,81.0
160,232,6.0,0.0,2350.0
161,4,13.0,1.0,103.0
162,2,7.0,23.0,9.0
163,49,7.0,0.0,525.0
164,17,14.0,49.0,142.0
165,3,0.0,0.0,30.0
166,86,7.0,0.0,895.0
167,3,32.0,13.0,164.0
168,1340,76.0,11.0,13758.0
169,50,2.0,0.0,510.0
170,27,2.0,0.0,280.0
171,235,6.0,0.0,2380.0
172,24,4.0,0.0,260.0
173,3,54.0,0.0,300.0
174,5,5.0,1.0,73.0
175,33,6.0,2.0,356.0
176,30,5.0,0.0,325.0
177,8,2.0,0.0,90.0
178,7,7.0,2.0,101.0
179,763,9.0,6.0,7663.0
180,12,1.0,3.0,119.0
181,3011,10.0,0.0,30160.0
182,2446,16.0,4.0,24532.0
183,433,16.0,3.0,4404.0
184,162,1.0,2.0,1621.0
185,33,21.0,18.0,399.0
186,96,4.0,2.0,976.0
187,236,30.0,24.0,2462.0
188,38,1.0,0.0,385.0
189,69,0.0,0.0,690.0
190,175,27.0,26.0,1833.0
191,12,1.0,0.0,125.0
192,9,1.0,0.0,95.0
193,1,136.0,7.0,676.0
194,1458,16.0,7.0,14646.0
